Country|SourceCustomerType|SourceCustomerName|SourceCustomerCode|SourceCustomerIsDirect|SourceCustomerDiageoSAPCode|WarehouseName|WarehouseCode|OutletCode|OutletDiageoEdgeCode|OutletName|OutletAddress|City|Region|LocalSegment1|LocalSegment2|LocalSegment3|LocalSegment4|OutletChannel|OutletStatus|ProductCode|ProductDiageoSAPCode|ProductName|ProductVolume|PackagingConfiguration|PackType|Date|Stock Type|StockQuantity|UnitOfMeasure|VolumeBottle|VolumeActualCase|VolumeLitre|VolumeEquivalentUnits|TotalAmount|CurrencyCode
CA-AB|State Monopoly|Alberta|""|""|0010017645|Alberta Warehouse Total|Alberta Warehouse Total|""|""|""|""|""|""|""|""|""|""|""|""|103204|""|SILENT SAM 1750 PET 1750|""|""|""|2026-02-28|OnHand|104|""|""|""|""|""||CAD
CA-AB|State Monopoly|Alberta|""|""|0010017645|Alberta Warehouse Total|Alberta Warehouse Total|""|""|""|""|""|""|""|""|""|""|""|""|103205|""|TROIKA 1750 PET 1750|""|""|""|2026-02-28|OnHand|234|""|""|""|""|""||CAD
CA-AB|State Monopoly|Alberta|""|""|0010017645|Alberta Warehouse Total|Alberta Warehouse Total|""|""|""|""|""|""|""|""|""|""|""|""|103410|""|CASAMIGOS CRISTALINO 750|""|""|""|2026-02-28|OnHand|510|""|""|""|""|""||CAD
CA-AB|State Monopoly|Alberta|""|""|0010017645|Alberta Warehouse Total|Alberta Warehouse Total|""|""|""|""|""|""|""|""|""|""|""|""|103410|""|CASAMIGOS CRISTALINO 750|""|""|""|2026-02-28|OnOrder|105|""|""|""|""|""||CAD
CA-AB|State Monopoly|Alberta|""|""|0010017645|Alberta Warehouse Total|Alberta Warehouse Total|""|""|""|""|""|""|""|""|""|""|""|""|108015|""|BULLEIT BARREL STRENGTH BATCH NO. 8 750|""|""|""|2026-02-28|OnHand|242|""|""|""|""|""||CAD
CA-AB|State Monopoly|Alberta|""|""|0010017645|Alberta Warehouse Total|Alberta Warehouse Total|""|""|""|""|""|""|""|""|""|""|""|""|108178|""|BAILEYS BIRTHDAY CAKE 750|""|""|""|2026-02-28|OnHand|281|""|""|""|""|""||CAD
CA-AB|State Monopoly|Alberta|""|""|0010017645|Alberta Warehouse Total|Alberta Warehouse Total|""|""|""|""|""|""|""|""|""|""|""|""|108180|""|TROIKA VODKA 750|""|""|""|2026-02-28|OnHand|71|""|""|""|""|""||CAD
CA-AB|State Monopoly|Alberta|""|""|0010017645|Alberta Warehouse Total|Alberta Warehouse Total|""|""|""|""|""|""|""|""|""|""|""|""|108187|""|RON CARIOCA BLANCO RUM 750|""|""|""|2026-02-28|OnHand|29|""|""|""|""|""||CAD
CA-AB|State Monopoly|Alberta|""|""|0010017645|Alberta Warehouse Total|Alberta Warehouse Total|""|""|""|""|""|""|""|""|""|""|""|""|108301|""|CAPTAIN MORGAN EAST COAST WHITE RUM 750|""|""|""|2026-02-28|OnHand|33|""|""|""|""|""||CAD
CA-AB|State Monopoly|Alberta|""|""|0010017645|Alberta Warehouse Total|Alberta Warehouse Total|""|""|""|""|""|""|""|""|""|""|""|""|108610|""|SILENT SAM PET 1140|""|""|""|2026-02-28|OnHand|131|""|""|""|""|""||CAD
CA-AB|State Monopoly|Alberta|""|""|0010017645|Alberta Warehouse Total|Alberta Warehouse Total|""|""|""|""|""|""|""|""|""|""|""|""|108610|""|SILENT SAM PET 1140|""|""|""|2026-02-28|OnOrder|40|""|""|""|""|""||CAD
CA-AB|State Monopoly|Alberta|""|""|0010017645|Alberta Warehouse Total|Alberta Warehouse Total|""|""|""|""|""|""|""|""|""|""|""|""|109115|""|SMIRNOFF PEACH LEMONADE 750|""|""|""|2026-02-28|OnHand|16|""|""|""|""|""||CAD
CA-AB|State Monopoly|Alberta|""|""|0010017645|Alberta Warehouse Total|Alberta Warehouse Total|""|""|""|""|""|""|""|""|""|""|""|""|109117|""|SMIRNOFF PINK LEMONADE 750|""|""|""|2026-02-28|OnHand|70|""|""|""|""|""||CAD
CA-AB|State Monopoly|Alberta|""|""|0010017645|Alberta Warehouse Total|Alberta Warehouse Total|""|""|""|""|""|""|""|""|""|""|""|""|109842|""|TROIKA VODKA 1140|""|""|""|2026-02-28|OnHand|150|""|""|""|""|""||CAD
CA-AB|State Monopoly|Alberta|""|""|0010017645|Alberta Warehouse Total|Alberta Warehouse Total|""|""|""|""|""|""|""|""|""|""|""|""|111021|""|GORDON'S LONDON DRY 1750|""|""|""|2026-02-28|OnHand|257|""|""|""|""|""||CAD
CA-AB|State Monopoly|Alberta|""|""|0010017645|Alberta Warehouse Total|Alberta Warehouse Total|""|""|""|""|""|""|""|""|""|""|""|""|111936|""|MORTLACH NAD - 2024 SPECIAL RELEASE 750|""|""|""|2026-02-28|OnHand|44|""|""|""|""|""||CAD
